Protein	kidneyTisue1	kidneyTisue2	kidneyTisue3	kidneyTisue4	kidneyTisue5	kidneyTisue6	kidneyTisue7	kidneyTisue8	kidneyTisue9	kidneyTisue10	kidneyTisue11	kidneyTisue12	kidneyTisue13	kidneyTisue14	kidneyTisue15	kidneyTisue16	kidneyTisue17	kidneyTisue18	kidneyTisue19	kidneyTisue20	kidneyTisue21	kidneyTisue22	kidneyTisue23	kidneyTisue24	kidneyTisue25	kidneyTisue26	kidneyTisue27	kidneyTisue28	kidneyTisue29	kidneyTisue30	kidneyTisue31	kidneyTisue32	kidneyTisue33	kidneyTisue34	kidneyTisue35	kidneyTisue36
Q00325	101732.7	126743.6	164343.5	99968.93	174984.5	55628.06	206752.5	362020.8	213886.3	446678.9	160691.3	83390.33	127141.2	79299.88	163095.2	86569.11	138626.9	257434.6	123793.9	115306.4	169817.6	97932.12	174540.8	54737.36	179524.6	345183.5	195557.8	454591.6	158583.5	75282.1	118269	54839	156268.9	83390.33	132774.2	241992.3
Q6NUK1	47954.48	68303.94	43429.14	75613.89	60605.33	79971.33	97140.59	75049.44	57959.53	NA	41576.85	75160.02	59138.55	77488.91	70903.29	58282.48	104101.6	100833	51910.27	69842.1	85221.49	76429.38	46818.33	103555.3	2064.747	99433.59	72273.86	NA	42255.78	74156.41	61155.07	79299.88	68419.37	59486.47	80345.41	96253.9
Q13561	44865.21	32596.28	50724.91	103960.2	42032.72	78414.15	51910.27	62940.28	61155.07	64901.59	63816.85	50724.91	57080.76	119902.1	62603.47	85464.76	106434	67976.03	54554.37	31034.26	48438.29	106789.8	48113.21	80465.48	56609.46	54002.71	46818.33	36493.12	66240.02	69842.1	48438.29	82644.38	56815.28	89349.21	122386.3	116010.1
O75964	162300.5	58361.84	232556.1	76153.19	208139.1	95207.85	203233.9	257434.6	165285.9	205171.5	165765.9	106620.3	154345.9	85094.47	227161.7	78654.16	125103	200030.8	164343.5	67126.98	241992.3	76018.01	211640.5	82107.82	199390.7	255122.1	134798	198832.2	166703.5	110367.2	164811.4	82528.65	224020.3	77070.33	129657.7	208762.6
Q92665	NA	NA	NA	21763.84	12806.98	NA	1804.537	31454.9	8404.697	9120.119	15243.89	NA	NA	NA	15951.23	19108.58	6414.703	9416.931	NA	NA	NA	22664.19	12327.9	NA	2064.747	22003.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	9559.831
O00170	107375.7	38012.43	40140.37	57432.65	77962.17	57005.18	1804.537	54002.71	43737.82	35413.6	48017.64	66240.02	50443.03	76685.11	48208.46	48512.74	65391.51	49821.32	39644.1	NA	42825.82	51274.72	40935.27	NA	2064.747	46628.66	43429.14	48664.34	119493.3	62503.04	68503.39	66141.67	41004.78	45258.62	64790.49	64454
Q9H3Y0	10649.17	NA	6723.506	NA	31797.32	NA	1804.537	9347.894	4285.253	NA	32940.66	NA	20517.91	NA	19983.67	NA	9708.25	NA	10701.54	NA	NA	NA	NA	NA	2064.747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9UJW2	289533.3	NA	224020.3	NA	240932	NA	1804.537	122859.9	384629	NA	296507.9	NA	338839.7	NA	182794.5	NA	NA	NA	289533.3	NA	236030.4	NA	250479.3	NA	2064.747	106434	404349.8	NA	282315.9	NA	338839.7	NA	169404.2	NA	NA	NA
Q92572	NA	NA	NA	42472.02	NA	NA	1804.537	NA	NA	NA	NA	60697.71	NA	NA	NA	43653.47	NA	NA	NA	NA	NA	53434.89	NA	NA	2064.747	NA	NA	NA	NA	47697.29	NA	NA	NA	NA	NA	NA
P25788	67663.89	112417.9	70596.1	97335.62	66477.81	101915.9	92823.65	43889.18	72761.18	76153.19	66571.79	128776.2	64601.65	130216	63415	83114.39	61900.08	66571.79	65262.99	89057.4	71011.48	94670.18	67021.12	103736.5	66141.67	37621.73	73631.49	76018.01	69717.98	119242.7	70389.42	128015.6	61249.4	82107.82	65665.84	66141.67
P62244	48954.49	68419.37	64601.65	156696.6	44865.21	85094.47	1804.537	61249.4	67233.22	120716.2	52008.52	71906.43	71658.52	62940.28	54328.42	161046.5	128015.6	125103	54328.42	100616.3	63988.55	142306.8	45654.7	89524.72	167482.1	65757.16	85600.47	109838.9	74156.41	81635.42	91466.47	113682.9	54056.81	239229.2	105371.4	135337.9
P13798	68064.1	49228.15	66141.67	38794.68	63548.54	47623.22	71375.87	65864.34	72273.86	127797.3	77348.17	49636.31	80903.05	55254.21	73200.35	66822.64	124024	110112	73278.36	50724.91	64601.65	32596.28	72135.45	43889.18	69590.71	65948.94	71531.78	125612.2	79816.24	48818.65	86569.11	51615.29	68597.03	47413.43	115757.1	106131.2
Q9BR76	53332.27	43101.08	62380.69	84185.7	56337.18	53114.32	63302.14	70281.09	63415	64108.37	57432.65	67333.54	59432.1	55431.72	55254.21	32336.43	71011.48	51480.33	56514.53	42678.39	68194.41	83516.5	61451.06	58618.05	76018.01	59540.84	60305.64	59138.55	60305.64	68707.95	70145.77	72866.16	56514.53	NA	75613.89	58063.49
P50747	NA	NA	NA	NA	NA	NA	1804.537	NA	NA	26947.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2064.747	NA	74269.09	62380.69	NA	NA	NA	NA	NA	NA	NA	NA
P01857	582535.7	1086128	1002596	970053.3	789446.1	1162786	1910378	276628.6	861796.3	940142	245595.9	746003.9	509155.2	746003.9	820257.2	1130692	513437.9	513437.9	613850.5	1086128	1086128	970053.3	789446.1	1219164	1507484	312295.6	838302.9	1027250	301234.9	732383.5	544909.7	805128.4	820257.2	1130692	534962.2	549609.4
P62158	659554.4	805128.4	760797.8	462133.9	706520.3	509155.2	87502.26	193664.8	513437.9	449960.5	431283.1	633821	760797.8	335047.9	341137.2	435248.4	499422.8	375463.4	466164.9	544909.7	692332.5	682653.9	706520.3	494067.2	338839.7	276628.6	805128.4	347082.5	435248.4	554483	716944.3	659554.4	357417.6	421056.2	746003.9	393512.7
P55060	65948.94	NA	NA	58530.55	NA	NA	1804.537	NA	252.0556	27128.02	NA	NA	87.39444	60140.21	1216.111	66379.24	47858.24	35681.91	NA	NA	NA	58282.48	NA	NA	2064.747	NA	NA	3440.078	NA	62003.42	NA	NA	NA	13744.35	48748.28	6211.608
Q8NBN7	17309.98	29430.84	39208.25	NA	20708.82	19690.86	1804.537	56337.18	17976.62	26314.17	31920.16	NA	34267.11	27066.26	25539.53	96590.73	102533.7	108554.7	19577.77	30568.06	19983.67	NA	23318.47	39433.16	2064.747	82644.38	44088.33	25608.95	19912.98	NA	39920.88	24264.99	25487.3	97140.59	98460.75	107194.5
Q5HYK3	NA	NA	NA	NA	5532.628	NA	1804.537	NA	NA	924.1556	NA	NA	NA	NA	1376.642	NA	NA	2235.375	NA	NA	4583.053	NA	7712.3	NA	58932	NA	NA	2910.106	NA	NA	NA	NA	5299.794	14102.8	NA	NA
Q6IAA8	NA	NA	7665.211	46495.02	11589.47	NA	1804.537	51690.71	9416.931	62742.03	9708.25	NA	27066.26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2064.747	60992.96	30488.41	88904.66	NA	41077.87	NA	NA	NA	NA	NA	NA
P00387	36018.36	83114.39	48113.21	115306.4	24964.95	110112	86222.4	18886.76	54417.16	49821.32	33837.11	81193.99	48438.29	77850.57	59735.85	100833	54002.71	67879.78	39140.5	65948.94	48314.38	119650.8	41004.78	107375.7	140526.3	37572.64	34436.2	53711.56	41576.85	80465.48	39433.16	81054.54	58436.31	100135.6	55628.06	86082.28
